628	0
40	1
10000	2
80	4
45594245	18a
41544144	18b
101	18d
10001	18e
ffe0	18f
45594245	418a
41544144	418b
101	418d
10001	418e
ffe0	418f
45594245	818a
41544144	818b
101	818d
10001	818e
ffe0	818f
45594245	c18a
41544144	c18b
101	c18d
10001	c18e
ffe0	c18f
45594245	18a
41544144	18b
101	18d
10001	18e
ffe0	18f
45594245	418a
41544144	418b
101	418d
10001	418e
ffe0	418f
45594245	818a
41544144	818b
101	818d
10001	818e
ffe0	818f
45594245	c18a
41544144	c18b
101	c18d
10001	c18e
ffe0	c18f
45594245	18a
41544144	18b
101	18d
10001	18e
ffe0	18f
45594245	418a
41544144	418b
101	418d
10001	418e
ffe0	418f
45594245	818a
41544144	818b
101	818d
10001	818e
ffe0	818f
45594245	c18a
41544144	c18b
101	c18d
10001	c18e
ffe0	c18f
45594245	18a
41544144	18b
101	18d
10001	18e
ffe0	18f
45594245	418a
41544144	418b
101	418d
10001	418e
ffe0	418f
45594245	818a
41544144	818b
101	818d
10001	818e
ffe0	818f
45594245	c18a
41544144	c18b
101	c18d
10001	c18e
ffe0	c18f
45594245	18a
41544144	18b
101	18d
10001	18e
ffe0	18f
45594245	418a
41544144	418b
101	418d
10001	418e
ffe0	418f
45594245	818a
41544144	818b
101	818d
10001	818e
ffe0	818f
45594245	c18a
41544144	c18b
101	c18d
10001	c18e
ffe0	c18f
45594245	18a
41544144	18b
101	18d
10001	18e
ffe0	18f
45594245	418a
41544144	418b
101	418d
10001	418e
ffe0	418f
45594245	818a
41544144	818b
101	818d
10001	818e
ffe0	818f
45594245	c18a
41544144	c18b
101	c18d
10001	c18e
ffe0	c18f
45594245	18a
41544144	18b
101	18d
10001	18e
ffe0	18f
45594245	418a
41544144	418b
101	418d
10001	418e
ffe0	418f
45594245	818a
41544144	818b
101	818d
10001	818e
ffe0	818f
45594245	c18a
41544144	c18b
101	c18d
10001	c18e
ffe0	c18f
45594245	18a
41544144	18b
101	18d
10001	18e
ffe0	18f
45594245	418a
41544144	418b
101	418d
10001	418e
ffe0	418f
45594245	818a
41544144	818b
101	818d
10001	818e
ffe0	818f
45594245	c18a
41544144	c18b
101	c18d
10001	c18e
ffe0	c18f
45594245	18a
41544144	18b
101	18d
10001	18e
ffe0	18f
45594245	418a
41544144	418b
101	418d
10001	418e
ffe0	418f
45594245	818a
41544144	818b
101	818d
10001	818e
ffe0	818f
45594245	c18a
41544144	c18b
101	c18d
10001	c18e
ffe0	c18f
45594245	18a
41544144	18b
101	18d
10001	18e
ffe0	18f
45594245	418a
41544144	418b
101	418d
10001	418e
ffe0	418f
45594245	818a
41544144	818b
101	818d
10001	818e
ffe0	818f
45594245	c18a
41544144	c18b
101	c18d
10001	c18e
ffe0	c18f
45594245	18a
41544144	18b
101	18d
10001	18e
ffe0	18f
45594245	418a
41544144	418b
101	418d
10001	418e
ffe0	418f
45594245	818a
41544144	818b
101	818d
10001	818e
ffe0	818f
45594245	c18a
41544144	c18b
101	c18d
10001	c18e
ffe0	c18f
45594245	18a
41544144	18b
101	18d
10001	18e
ffe0	18f
45594245	418a
41544144	418b
101	418d
10001	418e
ffe0	418f
45594245	818a
41544144	818b
101	818d
10001	818e
ffe0	818f
45594245	c18a
41544144	c18b
101	c18d
10001	c18e
ffe0	c18f
45594245	18a
41544144	18b
101	18d
10001	18e
ffe0	18f
45594245	418a
41544144	418b
101	418d
10001	418e
ffe0	418f
45594245	818a
41544144	818b
101	818d
10001	818e
ffe0	818f
45594245	c18a
41544144	c18b
101	c18d
10001	c18e
ffe0	c18f
45594245	18a
41544144	18b
101	18d
10001	18e
ffe0	18f
45594245	418a
41544144	418b
101	418d
10001	418e
ffe0	418f
45594245	818a
41544144	818b
101	818d
10001	818e
ffe0	818f
45594245	c18a
41544144	c18b
101	c18d
10001	c18e
ffe0	c18f
45594245	18a
41544144	18b
101	18d
10001	18e
ffe0	18f
45594245	418a
41544144	418b
101	418d
10001	418e
ffe0	418f
45594245	818a
41544144	818b
101	818d
10001	818e
ffe0	818f
45594245	c18a
41544144	c18b
101	c18d
10001	c18e
ffe0	c18f
45594245	18a
41544144	18b
101	18d
10001	18e
ffe0	18f
45594245	418a
41544144	418b
101	418d
10001	418e
ffe0	418f
45594245	818a
41544144	818b
101	818d
10001	818e
ffe0	818f
45594245	c18a
41544144	c18b
101	c18d
10001	c18e
ffe0	c18f
